Source,Date,Text,URL,Favorites,Retweets,Replies
Extra,2016-05-17 10:43:02,Buenos días! Compartimos los principales títulos del día.   Excelente jornada para todos. #TapaExtra https://t.co/KdXlOuUqWj,http://www.twitter.com/DiarioExtraPy/status/732521804116467712,0,1,0
Extra,2016-05-17 10:16:19,#Actualidad Con la prohibición pasaron de ser limpiavidrios a vendedores https://t.co/zkfitV1Dod https://t.co/5HIiM709tA,http://www.twitter.com/DiarioExtraPy/status/732515079279640577,0,0,0
Extra,2016-05-17 10:15:29,#Actualidad Playero sobrevivió de milagro tras ser atropellado en surtidor https://t.co/IwdP1NwLKM https://t.co/KGwhNK1YsL,http://www.twitter.com/DiarioExtraPy/status/732514870059360257,0,0,0
Extra,2016-05-17 10:14:24,#Actualidad “Mujeres al volante... seguridad constante” https://t.co/sBwcVfblvW https://t.co/zNM7aUKp8H,http://www.twitter.com/DiarioExtraPy/status/732514597396078592,0,0,0
Extra,2016-05-17 10:14:23,#Actualidad Cierran escuela: piden salida de maestra del video “porno” https://t.co/MIuvq83AFx https://t.co/lzGZiuku6R,http://www.twitter.com/DiarioExtraPy/status/732514595953221636,0,1,0
Extra,2016-05-17 10:13:08,#Actualidad Cancelación de la Línea 9 es motivo de protestas https://t.co/adjf5PuWY8 https://t.co/VnuDjlEBMY,http://www.twitter.com/DiarioExtraPy/status/732514278704484352,0,0,0
Extra,2016-05-17 10:12:14,#Actualidad Apresan a hombre por acoso sexual a un escolar de 12 años https://t.co/LTbBrxgn9B https://t.co/nDOiTmP0C2,http://www.twitter.com/DiarioExtraPy/status/732514055324196864,0,1,0
Extra,2016-05-17 10:11:17,#TuDinero Ofrecen puestos laborales a personas con discapacidad https://t.co/G5dMs2Nj5r https://t.co/VyfjOHJ4kI,http://www.twitter.com/DiarioExtraPy/status/732513812692115456,0,1,0
Extra,2016-05-17 10:10:19,#Denuncia Asegura que un médico amenazó con balearle https://t.co/ArK4s67WfP https://t.co/NlNRBPnDBU,http://www.twitter.com/DiarioExtraPy/status/732513570416525312,0,0,0
Extra,2016-05-17 10:09:24,#Mundo Trasplantan pene a un hombre en EE .UU. https://t.co/pYAoqwBW21 https://t.co/T8d94JxuuN,http://www.twitter.com/DiarioExtraPy/status/732513342493851648,0,1,0
Extra,2016-05-17 10:08:09,#Fama Famosos creen que la monotonía genera infidelidad https://t.co/n2q96o3xC2 https://t.co/hkSYTDDy9V,http://www.twitter.com/DiarioExtraPy/status/732513026461425664,0,0,0
Extra,2016-05-17 10:07:14,#Fama Tom Cruise quiere exorcizar a su hija https://t.co/R9I8hzWB5N https://t.co/yINGBDfdWx,http://www.twitter.com/DiarioExtraPy/status/732512795766349824,0,0,0
Extra,2016-05-17 10:05:58,#Deportes Los jugadores se rebelaron y el DT pasó su primer examen final https://t.co/XNAdCncH6l https://t.co/56qqWbMk6e,http://www.twitter.com/DiarioExtraPy/status/732512474516230144,0,0,0
Extra,2016-05-17 10:05:15,#Deportes Medina tuvo la bendición de “Sa-Sá” https://t.co/q2D367a28E https://t.co/Op0ROu55By,http://www.twitter.com/DiarioExtraPy/status/732512295692046336,0,0,0
Extra,2016-05-17 10:04:15,#Deportes En la “O” mantienen un “Chiqui” de esperanza https://t.co/fJfgSA59Qc https://t.co/xd5jy7jscj,http://www.twitter.com/DiarioExtraPy/status/732512046449709057,0,2,0
Extra,2016-05-17 10:03:11,#Deportes La Selección junta a más soldados en la Albiróga https://t.co/2ALnXVtoM5 https://t.co/MLuUY4JGs1,http://www.twitter.com/DiarioExtraPy/status/732511776810508288,0,0,0
Extra,2016-05-17 10:02:13,#Deportes Un Ropero pasado de “copas” en Dinamarca https://t.co/I9FRfwpu2E https://t.co/CPMMZyDACv,http://www.twitter.com/DiarioExtraPy/status/732511532802695168,1,1,0
Extra,2016-05-17 10:01:10,#Columnistas El tren de las oportunidades https://t.co/0qEulMQcJE https://t.co/YbWkF1J2el,http://www.twitter.com/DiarioExtraPy/status/732511269358436352,0,0,0
Extra,2016-05-16 11:00:52,Cordiales saludos! Aquí les presentamos la portada de lunes 16 de Mayo. https://t.co/tclhxKYgrg,http://www.twitter.com/DiarioExtraPy/status/732163905745719298,1,1,0
Extra,2016-05-16 10:16:36,#Actualidad Se prendió fuego luego de una fuerte discusión con su esposo https://t.co/37rsSroVT7 https://t.co/PsrJT4hhZW,http://www.twitter.com/DiarioExtraPy/status/732152765519036420,0,0,0
Extra,2016-05-16 10:16:17,"#Actualidad Junto a una Miss, Cartes envió un “beso enorme a las mamis” https://t.co/hytxn6VxXb https://t.co/slTEScy6M2",http://www.twitter.com/DiarioExtraPy/status/732152687022596096,0,1,0
Extra,2016-05-16 10:14:28,"#Actualidad Desde hoy, policías sacarán a los limpiavidrios de las calles https://t.co/X5R9r88EIN https://t.co/4dpEWyUHzm",http://www.twitter.com/DiarioExtraPy/status/732152228706799618,5,9,0
Extra,2016-05-16 10:13:28,#Actualidad La historia del extraño jardín de muñecas de doña Felicia https://t.co/XxicMEk42w https://t.co/lelYZOVPd6,http://www.twitter.com/DiarioExtraPy/status/732151976297779200,0,0,0
Extra,2016-05-16 10:12:22,#Actualidad Comisario les lleva a misa y da desayunos https://t.co/xoqKzhQYVG https://t.co/faCaWzHyZt,http://www.twitter.com/DiarioExtraPy/status/732151697393360896,0,0,0
Extra,2016-05-16 10:11:24,"#Actualidad “La llevó a la fuerza”, afirmó la madre de menor abusada https://t.co/j9AWs5ZceC https://t.co/Syk7szjHyJ",http://www.twitter.com/DiarioExtraPy/status/732151454681550848,0,1,0
Extra,2016-05-16 10:10:26,#TuDinero Ofrecen 537 puestos laborales https://t.co/k3mV9wXVoQ https://t.co/ERNadCfmXX,http://www.twitter.com/DiarioExtraPy/status/732151211281895425,0,4,0
Extra,2016-05-16 10:09:34,#Denuncia Fotodenuncias https://t.co/Waw9LlMRpt https://t.co/gITpZ37HiV,http://www.twitter.com/DiarioExtraPy/status/732150996277723136,0,0,0
Extra,2016-05-16 10:08:53,#Mundo Descubrió mensajes en WhatsApp y la mató https://t.co/VbmZjElkSh https://t.co/frBGi075wq,http://www.twitter.com/DiarioExtraPy/status/732150824307019776,0,0,0
Extra,2016-05-16 10:08:29,#Fama El lujoso casamiento de la modelo Egny Eckert https://t.co/HAcuZCzXjS https://t.co/Yd3Stjkoh3,http://www.twitter.com/DiarioExtraPy/status/732150720128946176,2,1,0
Extra,2016-05-16 10:07:05,#Fama Actriz paraguaya participa en la nueva película de “Gilda” https://t.co/4hq6fwe6TV,http://www.twitter.com/DiarioExtraPy/status/732150368918867968,0,1,0
Extra,2016-05-16 10:05:41,#Deportes No deja de trepar hacia el título https://t.co/DUqRUpxUbr https://t.co/X0uNlWxWWU,http://www.twitter.com/DiarioExtraPy/status/732150018329600000,0,0,0
Extra,2016-05-16 10:04:42,#Deportes El Expreso arrasa ante el Rubio y sigue soñando https://t.co/5b4f1foZ2G https://t.co/ymsNrVeym4,http://www.twitter.com/DiarioExtraPy/status/732149768902705153,0,1,0
Extra,2016-05-16 10:04:22,#Deportes El Ciclón mide a Capiatá luego del café de Zapag https://t.co/by7du1mG9g https://t.co/YJvfyhvEuB,http://www.twitter.com/DiarioExtraPy/status/732149685364776960,1,1,0
Extra,2016-05-16 10:02:56,#Deportes La Intermedia tiene un líder con mucha madera https://t.co/CJLVRpvdOS https://t.co/eyuLrB6AVI,http://www.twitter.com/DiarioExtraPy/status/732149325963268096,0,0,0
Extra,2016-05-16 10:01:47,#Deportes Misión más que cumplida https://t.co/Nzk4X3kKTG https://t.co/5iWZjItujk,http://www.twitter.com/DiarioExtraPy/status/732149037525147649,0,0,0
Extra,2016-05-16 10:01:23,#Columnistas Crisis es oportunidad https://t.co/zQRNEHa4kh https://t.co/cHtIgEvrU2,http://www.twitter.com/DiarioExtraPy/status/732148934156636160,4,4,0
Extra,2016-05-15 12:30:24,Cordiales saludos! Ésta es nuestra portada de este 15 de Mayo.  Feliz Día a todas las Madres del Paraguay! https://t.co/rz9gJj0mCB,http://www.twitter.com/DiarioExtraPy/status/731824050352340993,4,3,0
Extra,2016-05-15 10:16:20,#Actualidad Mamá donó a su hija un riñón y trabaja para su tratamiento https://t.co/rAqZ2xqWJa https://t.co/bCMSIj78J7,http://www.twitter.com/DiarioExtraPy/status/731790308615196674,2,0,0
Extra,2016-05-15 10:14:39,#Actualidad El más aplaudido en el desfile patrio fue un excombatiente https://t.co/KxqGkhpR6P https://t.co/I7RLmWEqbg,http://www.twitter.com/DiarioExtraPy/status/731789885783179265,2,1,0
Extra,2016-05-15 10:13:56,#Actualidad Encuentran antiguo estribo en el Parque Nacional Cerro Corá https://t.co/zWuTiAuN1i https://t.co/0iIlvfRzST,http://www.twitter.com/DiarioExtraPy/status/731789705696550912,4,3,0
Extra,2016-05-15 10:11:56,#Actualidad Mariano: 2 choques y 2 muertos en 45 minutos https://t.co/bVxGv73pHW https://t.co/RH9WeEkcQv,http://www.twitter.com/DiarioExtraPy/status/731789200870150144,1,0,0
Extra,2016-05-15 10:10:30,#Actualidad Mujer mató a su pareja de un balazo en un arranque de celos https://t.co/8Grma6CH5F https://t.co/EO4rV1nFhu,http://www.twitter.com/DiarioExtraPy/status/731788843758718976,0,1,0
Extra,2016-05-15 10:09:43,#Denuncia Denuncian uso particular de la única ambulancia https://t.co/juz4ICy07O,http://www.twitter.com/DiarioExtraPy/status/731788646576087040,0,0,0
Extra,2016-05-15 10:08:45,#Mundo Pasó de ser una modelo a primera dama https://t.co/rwW9bS9S4h,http://www.twitter.com/DiarioExtraPy/status/731788401221869568,1,2,1
Extra,2016-05-15 10:08:25,#Fama Actor paraguayo se destacó en la película de Keanu Reeves https://t.co/2oxFOGCMsD https://t.co/5QTVx618MS,http://www.twitter.com/DiarioExtraPy/status/731788317180583936,1,2,0
Extra,2016-05-15 10:07:07,#Fama “Si gano invertiré el dinero en mis estudios” https://t.co/uW4PhjNT7q https://t.co/kgIKLXRUHk,http://www.twitter.com/DiarioExtraPy/status/731787992155611136,0,0,0
Extra,2016-05-15 10:05:52,#Deportes Un “Tiburón” hambriento de título ante la fe del “Míster” https://t.co/eNICGcmkti,http://www.twitter.com/DiarioExtraPy/status/731787676618096640,0,0,0
Extra,2016-05-15 10:04:38,#Deportes El “Expreso” está listo para su próxima parada https://t.co/1WeXV1Do9R https://t.co/J14UKnbuC9,http://www.twitter.com/DiarioExtraPy/status/731787365165883392,1,0,0
Extra,2016-05-15 10:04:03,#Deportes Pulseada entre los más “pintados” de Ñemby https://t.co/WYnWXWba5J https://t.co/twXZPKNkO4,http://www.twitter.com/DiarioExtraPy/status/731787217601859584,1,0,0
Extra,2016-05-15 10:03:12,#Deportes El Sol se apagó ante la Danza del Indio https://t.co/sTQLNW9gh7 https://t.co/YpOxW8bs6I,http://www.twitter.com/DiarioExtraPy/status/731787004975808512,1,0,0
Extra,2016-05-15 10:02:10,#Deportes Marín puso a gozar a la “República” https://t.co/h53hpxxDWJ https://t.co/HWAQ7sXMpR,http://www.twitter.com/DiarioExtraPy/status/731786745948164096,1,0,0
Extra,2016-05-15 10:00:45,#Columnistas Entre los brazos de Mamá https://t.co/K8yVy8F3uJ https://t.co/OPQtoyV23D,http://www.twitter.com/DiarioExtraPy/status/731786389914669056,0,1,0
Extra,2016-05-14 12:12:08,Feliz día de la Patria! Compartimos con ustedes los títulos de esta jornada. https://t.co/LN28a7z4lP,http://www.twitter.com/DiarioExtraPy/status/731457064761999361,1,5,0
Extra,2016-05-14 10:16:40,#Actualidad 5 tips para que no te roben en las estaciones de servicios https://t.co/eqRsIsFksJ https://t.co/W7Xzad1rlF,http://www.twitter.com/DiarioExtraPy/status/731428006690836480,1,0,5
Extra,2016-05-14 10:15:37,#Actualidad Hieren a un policía que abortó asalto a banco https://t.co/kpkFiMQmpA https://t.co/KlBHovYiNS,http://www.twitter.com/DiarioExtraPy/status/731427743263494145,1,0,0
Extra,2016-05-14 10:15:11,#Actualidad Mamá usó un curioso accesorio para que su hijo no se pierda https://t.co/SNFv0OLaZ9 https://t.co/DCQzofkq8r,http://www.twitter.com/DiarioExtraPy/status/731427632080818177,0,1,1
Extra,2016-05-14 10:13:31,#Actualidad Muni capitalina controlará a limpiavidrios en 22 esquinas https://t.co/tHMxQ1PxXU https://t.co/6qjU4nsecy,http://www.twitter.com/DiarioExtraPy/status/731427210989424641,1,0,0
Extra,2016-05-14 10:12:23,#Actualidad Ponen candado a puertas de los micros https://t.co/cfcFiWc2jr,http://www.twitter.com/DiarioExtraPy/status/731426926514987008,0,0,0
Extra,2016-05-14 10:11:57,#Actualidad Música y baile en homenaje a las madres del Buen Pastor https://t.co/rnTWOjYx5e https://t.co/agIgbSpp0z,http://www.twitter.com/DiarioExtraPy/status/731426819228848129,0,0,0
